Area,Ground Truth
Settings,Return request settings are configured in Configuration → Settings → Order settings under the Return request settings panel. The 'Enable returns system' checkbox must be selected to allow customers to submit return requests.
Settings,"A custom return request number mask can be defined. A 'Number of days that the return request is available' field controls how long after purchase the return link is visible to customers (e.g., 30 days)."
Customer Submission,"To submit a return request, a customer goes to My Account → Orders, clicks 'Return Item(s)' beside a completed order, and then selects the quantity to return, the return reason, and the desired return action."
Customer Submission,Customers can optionally attach files to a return request when the 'Allow file uploads' setting is enabled. They can also add an optional comment in the Comments field.
Customer Submission,"After submitting a return request, customers can view their requests and statuses under My Account → Return requests in the public store."
Return Request Details,"In the return request edit view, the store owner can view the return request ID, associated Order #, and the customer's email — clicking the order number or customer email redirects to the respective detail pages."
Return Reasons & Actions,Store owners can define custom return reasons and return actions via the Return request settings panel. New actions are added by clicking 'Add new' and providing a name and display order (1 represents the first item in the list).
Navigation,"To view all shopping carts and wishlists across all customers and stores, navigate to Sales → Shopping carts and wishlists. Select the desired type (Shopping cart or Wishlist) in the Search area and click Search."
Shopping Cart Management,"The shopping cart list shows all products added to carts but not yet purchased (abandoned carts). From this list, you can navigate to the customer details page or the product edit page, or delete a product from the cart."
Shopping Cart Settings,"Shopping cart settings are configured at Configuration → Settings → Shopping cart settings. Options include: Show discount box, Show gift card box, Show mini-shopping cart, Maximum shopping cart items, and Carts shared between stores."
Shopping Cart Settings,"Display cart after adding a product' shows the shopping cart page immediately after a product is added. If disabled, the customer remains on the product page after adding to cart."
Shopping Cart Settings,The number of cross-sell products displayed on the shopping cart checkout page can be configured. Enter 0 to disable cross-sells.
Shopping Cart Settings,"The mini shopping cart dropdown, which appears at the top right corner when hovering over the Shopping cart link, can be enabled. When enabled, the maximum number of products shown in the mini cart can also be configured."
Wishlist,A wishlist is a list of products a customer can save to transfer to the cart later or share with friends. A product's 'Add to wishlist' button appears on the product details page if adding to wishlist is enabled for that product.
Wishlist,"When a product with variants is added to a wishlist, all selected variants are included. If the same product is added multiple times, it appears only once but with an updated quantity reflecting the number of times it was added."
Wishlist Settings,"Wishlist settings include: allow customers to email their wishlist, allow guests to email their wishlist, allow out-of-stock items to be added to the wishlist, show product images on wishlist, and display wishlist after adding a product."
Overview,Checkout attributes are used to gather additional order information during the final stage of the shopping process (on the shopping cart page). An example is a Gift wrapping option displayed in the shopping cart.
Attribute Configuration,"Each checkout attribute includes a Text prompt (a question or comment shown on the cart page) and a Control type such as Dropdown list, Radio button list, Checkboxes, or Textbox."
Attribute Configuration,"Control types that require predefined values (Dropdown list, Radio button list, Checkboxes, Color squares) must have values defined by the store owner. Textbox and Date picker controls do not require predefined values — customers fill them in."
Attribute Validation,"Validation rules can be specified for certain control types. For Textbox, this includes Minimum length, Maximum length, and Default value. For File upload, Allowed file extensions and Maximum file size (KB) can be defined."
Required Attributes,"Selecting the 'Required' checkbox for a checkout attribute forces customers to provide a value before completing the purchase. After saving, the new attribute is displayed on the shopping cart page in the public store."
Navigation,"To set up inventory for a product, navigate to Catalog → Products, edit a product, and go to the Inventory panel within the product edit window."
Inventory Methods,"There are three inventory tracking methods available: 'Don't track inventory' (for services or custom goods that do not require stock tracking), 'Track inventory' (by product), and 'Track inventory by product attributes'."
Stock Quantity,Stock quantity represents the total available quantity and is automatically reduced whenever an order is shipped. The warehouse to use for shipping rate calculation can be assigned and managed at Configuration → Shipping → Warehouses.
Multiple Warehouses,"Selecting 'Multiple warehouses' enables inventory management and shipping from multiple locations. Per warehouse, you can define stock quantity, reserved quantity (ordered but not yet shipped/added to shipment), and planned quantity (added to shipment but not yet shipped)."
Stock Display,Enabling 'Display availability' shows stock availability to customers in the public store. Enabling 'Display stock quantity' shows the actual quantity on the product details page (only available when Display availability is also selected).
Low Stock,"A minimum stock quantity threshold can be set. When stock falls below this level, the configured 'Low stock activity' is triggered: Nothing (no action), Disable buy button (customers can see but not buy), or Unpublish (product is removed from the store)."
Low Stock,A 'Notify for qty below' field triggers a notification email to the administrator when stock quantity falls below the specified value. Low stock products can also be monitored via Reports → Low stock.
Backorders,"Backorder mode options are: 'No backorders' (customers cannot purchase when out of stock), 'Allow qty below 0' (customers can purchase even when out of stock), and 'Allow qty below 0 and notify customer' (customers can purchase and receive an out-of-stock notification; Display availability must also be enabled)."
Back In Stock Subscriptions,Allow back in stock subscriptions' enables customers to subscribe to notifications when a product becomes available again. A 'Product availability range' can also be shown to customers when a product is currently unavailable.
Cart Quantity Restrictions,"Minimum cart qty' sets the minimum number of this product a customer must add to the cart (e.g., 3 means customers must buy at least 3). 'Maximum cart qty' sets the upper limit (e.g., 5 means customers can purchase no more than 5)."
Cart Quantity Restrictions,"The 'Allowed quantities' field accepts a comma-separated list of specific quantities. Instead of a free-text quantity box, customers will see a dropdown with only those values."
Return Eligibility,Checking the 'Not returnable' checkbox on a product prevents customers from submitting a return request for that product.
Attribute Combinations,"When using 'Track inventory by product attributes', out-of-stock behavior can be configured per attribute combination. 'Allow only existing attribute combinations' restricts add-to-cart to combinations that have stock quantities greater than 0."
Overview,Gift cards are created by defining a product as a gift card via the 'Is gift card' checkbox in Catalog → Products → Add new → Gift card panel. The Gift card type (Virtual or Physical) must be specified. It is not recommended to change the gift card type in a live store.
Navigation,"To view and manage purchased gift cards, navigate to Sales → Gift cards. Click Edit beside a gift card to open its details."
Activation,Gift cards are disabled by default. The 'Is gift card activated' checkbox must be selected and a coupon code generated to activate a gift card manually.
Activation,"To activate gift cards automatically after an order is completed, go to Configuration → Settings → Order settings → Gift cards panel and select 'Activate gift cards after completing of an order'. The coupon code will also be generated automatically."
Activation,"Gift cards can also be configured to deactivate automatically when an order is cancelled ('Deactivate gift cards after cancelling of an order') or deleted ('Deactivate gift cards after deleting of an order'), and usage history can be cleared on cancellation."
Gift Card Details,"Editable gift card fields include: Gift card type, Initial value, Recipient's name, Recipient's email (Virtual only), Sender's name, Sender's email (Virtual only), and an optional message. The Remaining amount field shows how much value is left."
Recipient Notification,"Clicking 'Notify recipient' sends an email with gift card details to the recipient. This button is only available for Virtual gift cards, not Physical ones."
Usage,"Once a gift card is activated, the customer uses it during checkout by entering the coupon code in the gift card box on the shopping cart page. The Usage history panel on the gift card details page shows all orders in which the coupon was applied."
Display Settings,The gift card box on the shopping cart page can be hidden by clearing the 'Show gift card box' checkbox in Configuration → Settings → Shopping cart settings (Common panel).
Balance Check,Customers can be allowed to check their gift card balance by enabling 'Allow customers to check gift card balance' in Configuration → Settings → Shopping cart settings. This feature requires CAPTCHA to be enabled (Configuration → Settings → General settings → CAPTCHA panel) due to security risks.
Categories,Categories must be created before products can be assigned to them.
Categories,A category must have a Name entered before it can be saved.
Categories,The Add a New Category page is available in two modes: advanced and basic. Basic mode displays only the main fields; advanced mode displays all available fields.
Categories,A category can be designated as a subcategory by selecting a Parent Category. The subcategory will be nested under the parent in the public store.
Categories,A category must have the 'Published' checkbox selected to be visible in the public store.
Categories,A category can optionally be displayed on the home page by selecting the 'Show on home page' checkbox.
Categories,A category can be included in the top navigation menu by selecting the 'Include in top menu' checkbox.
Categories,"If 'Allow customers to select page size' is enabled, the store owner must provide a comma-separated list of page size options. The first value in the list is the default page size."
Categories,"If 'Allow customers to select page size' is disabled, a single fixed 'Page size' value must be set instead."
Categories,"Price range filtering can be enabled at the category level, with an option to allow customers to enter the price range manually by specifying 'Price from' and 'Price to' values."
Categories,Display order uses ascending numeric order. The category with display order 1 appears at the top of the list in the public store.
Categories,Discounts mapped to a category are applied to all products within that category. Only discounts of the 'Assigned to categories' type are eligible. The 'Ignore discounts (sitewide)' setting in Catalog Settings → Performance must be disabled for discounts to apply.
Categories,Access to a category can be restricted to specific customer roles via the 'Limited to customer roles' field. This requires the 'Ignore ACL rules (sitewide)' setting to be disabled in Catalog Settings.
Categories,A category can be restricted to specific stores via the 'Limited to stores' field. This requires the 'Ignore limit per store rules (sitewide)' setting to be disabled in Catalog Settings.
Categories,"If the 'Restrict from vendors' option is enabled, vendors cannot assign products to that category from the Add/Edit product pages in the admin area."
Categories,A category must be saved before products can be added to it via the Products panel.
Categories,Products assigned to a category can be individually configured as 'Is featured product' and given a display order within that category.
Categories,"If the SEO 'Search engine friendly page name' field is left blank, the category URL is automatically formed from the category name. If a custom value is entered, that value is used as the URL slug."
Categories,"Categories can be exported to XML or Excel for backup purposes, and imported from Excel. Import column names must exactly match the downloaded template. Importing more than 500–1000 records at once is not recommended due to memory constraints."
Manufacturers,A manufacturer must have a Name entered before it can be saved.
Manufacturers,The Add a New Manufacturer page is available in two modes: advanced and basic. Basic mode displays only the main fields; advanced mode displays all available fields.
Manufacturers,A manufacturer must have the 'Published' checkbox selected to be visible in the public store.
Manufacturers,"If 'Allow customers to select page size' is enabled, the store owner must provide a comma-separated list of page size options. The first value in the list is the default page size."
Manufacturers,"If 'Allow customers to select page size' is disabled, a single fixed 'Page size' value applies to the manufacturer's product listing page."
Manufacturers,Access to a manufacturer can be restricted to specific customer roles via the 'Limited to customer roles' field. This requires the 'Ignore ACL rules (sitewide)' setting to be disabled in Catalog Settings.
Manufacturers,A manufacturer can be restricted to specific stores via the 'Limited to stores' field. This requires the 'Ignore limit per store rules (sitewide)' setting to be disabled in Catalog Settings.
Manufacturers,A manufacturer must be saved before products can be added to it via the Products panel.
Manufacturers,Products assigned to a manufacturer can be individually configured as 'Is featured product' and given a display order within that manufacturer's listing.
Manufacturers,"If the SEO 'Search engine friendly page name' field is left blank, the manufacturer URL is automatically formed from the manufacturer name."
Manufacturers,"Manufacturers can be exported to XML or Excel for backup purposes, and imported from Excel. Import column names must exactly match the downloaded template. Importing more than 500–1000 records at once is not recommended due to memory constraints."
Catalog Settings,"Catalog Settings supports multi-store configuration, meaning settings can be defined globally or overridden per store."
Catalog Settings,"If 'Search enabled' is disabled, the search functionality is hidden from the public store entirely."
Catalog Settings,"If 'Search autocomplete enabled' is active, the number of autocomplete results, whether product images are shown, and whether a link to all results is shown can each be configured independently."
Catalog Settings,A minimum search term length can be configured; customers cannot search with fewer characters than this threshold.
Catalog Settings,"If 'Allow customers to search with manufacturer name' is enabled, manufacturer names are included as searchable fields. The same applies independently for category names."
Catalog Settings,Product reviews must be approved by a store administrator before being published if the 'Product reviews must be approved' setting is enabled.
Catalog Settings,"If 'Product review possible only after product purchasing' is enabled, only customers who have previously ordered the product can submit a review."
Catalog Settings,"If 'Reviews per store' is enabled, only reviews submitted for the current store are displayed on the product details page."
Catalog Settings,"Enabling 'Ignore ACL rules (sitewide)' in the Performance panel disables all customer role access restrictions set on categories, manufacturers, and products across the entire store."
Catalog Settings,Enabling 'Ignore limit per store (sitewide)' in the Performance panel disables all store-specific restrictions on entities. It is recommended when running only a single store.
Catalog Settings,"Cache product prices' must not be enabled when using complex discounts, discount requirement rules, or coupon codes, as it can result in incorrect pricing."
Catalog Settings,"If 'Allow product sorting' is enabled, individual sort options (Position, Name, Price, Date of creation) can be independently activated or deactivated. Selecting 'Position' places no restriction on sort order."
Catalog Settings,"If 'Include products from subcategories' is enabled, products from child categories are included when browsing a parent category page."
Catalog Settings,"If 'Enable specification attribute filtering' is disabled in Catalog pages settings, specification attribute filters will not appear on catalog pages even if specification attributes exist on products."
Catalog Settings,"If 'Display From prices' is enabled, the minimum possible product price based on attribute adjustments is shown instead of the base price. Enabling 'Cache product prices' is also recommended in this case, with the caveat around complex discounts."
Catalog Settings,"The Product URL structure type determines the format of product page URLs; possible values are /Product, /Category/Product, and /Manufacturer/Product."
Catalog Settings,"If 'Allow viewing of unpublished product details page' is enabled, unpublished products remain indexable by search crawlers, though they are not visible to customers. Store owners always retain access to unpublished products."
Catalog Settings,Product attributes and specification attributes are only included in import/export operations if the corresponding export/import settings are enabled in Catalog Settings.
Catalog Settings,"When two or more store languages are configured, Export/Import to Excel and XML supports multilingual product data."
Catalog Settings,"The AI content generation feature supports three providers (DeepSeek, Gemini, ChatGPT), but only one provider can be active at a time. It can be enabled or disabled independently for product descriptions and SEO meta fields."
Catalog Settings,AI-generated SEO meta tags will only populate fields that are currently empty; the tool will not overwrite existing manually entered data.
Catalog Settings,"If unsaved changes exist on a product edit page, the system will prompt the user to save before sending a request to the AI service for SEO generation."
Full-text Search,Full-text Search is not built into nopCommerce core; it requires installation of a paid plugin — either the Lucene plugin or the Elasticsearch plugin.
Full-text Search,"Unlike the standard search (which relies on exact matches), Full-text Search analyzes the entire site content to return the most relevant results, with support for fuzzy matching and typo tolerance."
Full-text Search,"Both the Lucene and Elasticsearch plugins support three search modes: Fuzzy (tolerates misspellings using edit-distance matching), Wildcard/Contains (matches partial terms using the * operator), and Exact (strict token match)."
Full-text Search,"If 'Immediately update indexes' is enabled, product index changes (e.g., name or description updates) are applied in real time. If disabled, reindexing is scheduled. A manual 'Rebuild index' action is always available."
Full-text Search,A Result limit can be configured to cap the maximum number of matches returned from the search index per query.
Full-text Search,Additional delimiter characters can be configured to split search queries into terms. Search queries are always split by spaces in addition to any configured delimiters.
Full-text Search,The Elasticsearch plugin requires a separately installed and configured Elasticsearch server (v8.x). The node endpoint URL and index name must be configured in the plugin settings.
Full-text Search,The Elasticsearch plugin supports multiple authentication methods for accessing the cluster: Basic authentication (username and password) or API Key (bearer token).
Full-text Search,The Elasticsearch plugin automatically matches the available indexing language to the current store language.
Full-text Search,Both Full-text Search plugins belong to the 'Search provider' plugin group and can be enabled or disabled via the Enable/Disable buttons on the plugin configuration page.
Navigation,"To view and manage discounts, navigate to Promotions → Discounts. The page allows searching by Start date, End date, and other criteria."
General,"Discounts can be applied to categories, products, order total, order subtotal, shipping, and manufacturers. Products can have any number of discounts attached simultaneously."
General,"By default, no discounts exist in nopCommerce. When multiple discounts apply, the system automatically calculates the best possible price for the customer based on all available discounts and group memberships."
Coupon Codes,"The most common discount method is a coupon code, which customers enter on the shopping cart page before checkout. It is recommended to use coupon codes rather than codeless discounts, as they allow tracking of campaign results."
Add New Discount,"To add a new discount, go to Promotions → Discounts and click 'Add new'. The form is available in Basic mode (main fields only) or Advanced mode (all available fields)."
Add New Discount,"When creating a discount, the 'Is active' checkbox must be selected to activate it. A Name and Discount type must be provided. Discount types include: Assigned to order total, Assigned to products, Assigned to categories, Assigned to manufacturers, Assigned to shipping, and Assigned to order subtotal."
Discount Settings,"Discounts can be time-based using Start date and End date fields. The 'Cumulative with other discounts' option allows customers to apply multiple discounts simultaneously. A Discount limitation can be set, such as limiting use to once per customer."
Requirements,Discount requirements can be configured to restrict who qualifies. The built-in requirement type is 'Must be assigned to a customer role'. Additional requirement types are available as marketplace plugins.
Requirements,Requirement groups can be created for complex multi-rule discounts using Boolean AND/OR logic. Groups can be nested and reused as templates. Groups can be included within other groups for advanced scenarios.
Product-level Discounts,"For 'Assigned to products' discount type, products are added in the 'Applied to products' panel after saving the discount. A Maximum discounted quantity field controls how many items the discount applies to per order."
Sitewide Setting,"For discounts to function, the 'Ignore discounts (sitewide)' setting must be disabled under Configuration → Settings → Catalog settings → Performance panel."
Navigation,"To manage the reward points program, go to Configuration → Settings → Reward points. This page supports multi-store configuration, allowing settings to differ per store."
General,The Reward Points feature is a loyalty program allowing customers to earn points for specific actions such as registering and making purchases. Reward points can be redeemed as a payment method during checkout alongside other methods such as credit cards and gift cards.
General,Reward points are only applicable to registered users. Points can also be canceled if a customer cancels an order or submits a return request.
Configuration,"To activate reward points, the 'Enabled' checkbox must be selected. An Exchange rate must be defined (e.g., 1 point = $1). A Minimum reward points to use can be set; enter 0 to skip this restriction."
Configuration,"The 'Maximum reward points to use per order' field limits how many points a customer can redeem per order. The 'Maximum redeemed rate' limits the percentage of order total that can be paid with reward points (e.g., 0.6 = 60%). Setting either to 0 disables the restriction."
Activation,"If 'Activate points immediately' is selected, customers can use reward points right after earning them. If deselected, a delay period (in days or hours) must be configured before points become usable."
Display & Multi-store,The 'Display how much will be earned' option shows customers their projected points on the checkout page. The 'Points accumulated for all stores' option merges reward point balances across all stores so points earned in one store can be used in another.
Customer Management,Reward points can be manually added or deducted per customer via the customer management page. Entering a negative value reduces the customer's points. A validity period (in days) can be set for any points awarded.
Navigation,"To manage affiliates, navigate to Promotions → Affiliates. Click 'Add new' to register a new affiliate partner."
General,"Affiliates are third-party partners who refer customers to the store. nopCommerce tracks these referrals so the store owner can determine commissions to pay. Once a customer is assigned an affiliate ID, all orders they place are tagged with that affiliate ID."
Affiliate Links,"An affiliate partner link takes the format: http://www.yourstore.com/?AffiliateID=N (where N is the affiliate's ID). Store owners can also define a friendly URL name for marketing use, e.g., http://www.yourstore.com/?affiliate=friendly_name_here."
Affiliate Links,"When a visitor clicks an affiliate link, nopCommerce reads the AffiliateID query string parameter from the URL to track the referral. This tracking is automatic once the link is clicked."
Add New Affiliate,"When adding a new affiliate, the 'Active' checkbox must be selected to activate the affiliate. The affiliate details page shows all orders placed by affiliated customers in the Affiliate orders panel."
Navigation,"Cross-sells and related products are configured on individual product edit pages. Navigate to Catalog → Products, select a product, click Edit, and find the 'Cross-sells' and 'Related products' panels. The product must be saved before cross-sells or related products can be added."
General,Cross-sells and related products are marketing tools used to offer customers additional products based on their shopping behavior. Both tools can be used simultaneously on a single product.
Cross-sells,"Cross-sell products are displayed at the bottom of the checkout page. They are typically complementary items often purchased alongside the cart product, but any product from the catalog can be added. An unlimited number of cross-sell products can be linked to a product."
Cross-sells,"To add a cross-sell product, click 'Add new cross-sell product' and search the catalog using criteria such as Product name, Category, Vendor, Store, Product type, or Manufacturer."
Cross-sells,The number of cross-sell products shown on the checkout page is controlled by the 'Number of cross-sells' setting under Configuration → Settings → Shopping cart settings. Enter 0 to disable cross-sell display entirely.
Related Products,"Related products are displayed below the selected product on its product details page, providing an opportunity to advertise and up-sell. An unlimited number of related products can be added to a product."
Related Products,"To add a related product, click 'Add new related product' and select products from the catalog using the same search criteria available for cross-sells."
Navigation,"To manage email campaigns, navigate to Promotions → Campaigns. Click 'Add new' to create a new campaign. To manage newsletter subscribers, navigate to Promotions → Newsletter Subscribers."
General,"Email campaigns are sent to customers who have subscribed to newsletters. Campaigns are used to promote trust, loyalty, and sales. Examples include welcome emails, announcements, company news, and coupon distributions."
Sending Campaigns,A 'Send mass email' action sends the campaign to all customers subscribed to newsletters. A test email option is also available to preview the campaign before sending it to the full subscriber list.
Newsletter Subscribers,"Newsletter subscribers can be imported from an external CSV file or exported to CSV via Promotions → Newsletter Subscribers. The required CSV format is: email_address, is_active, store_id (store_id is optional). Example: test@test.com, true."
Newsletter Subscribers,"Subscribers can be searched on the Newsletter Subscribers page by email address, active status, start date, and end date of subscription."
Subscriber Opt-in,Customers can subscribe to newsletters during store registration or via the newsletter subscription form in the store footer (available in the Default Clean nopCommerce theme).
Navigation,"To manage customers, navigate to Customers → Customers. The customer list contains details of all existing customers and allows adding new ones."
Customer Scope,"In nopCommerce, customers include all users such as administrators, vendors, and buyers — not just shoppers."
Search,"Customers can be searched using one or more criteria: email, username (if enabled), first name, last name, date of birth, company, phone, zip code, IP address, active status, and customer roles."
Export,"Customer data can be exported to XML or Excel using 'Export to XML (all)', 'Export to Excel (all)', 'Export to XML (selected)', or 'Export to Excel (selected)' buttons."
Add Customer,"To add a new customer, click the 'Add new' button in the Customers window. The Customer info panel allows entering personal and account information, changing passwords, and assigning or removing customer roles."
Customer Info Panel,"When creating or editing a customer, the following fields are available: email address, first name, last name, date of birth, company name, tax exempt status, newsletter subscription, customer roles, manager of vendor, active status, and admin comment."
Customer Roles Assignment,"Any customer role that requires system login (e.g., Administrator, Vendor) must also include the 'Registered' customer role. A customer can be assigned one or multiple roles."
Vendor Association,"A vendor can be associated with a customer account via the 'Manager of vendor' dropdown. Once linked, the customer can log into the vendor portal and manage its products and orders. The customer must also exist in the Vendors list."
Password,The 'Customer must change password' checkbox can be selected to require the customer to change their password on next login.
Communication,"After saving a customer record, a store owner can send an email or a private message to the customer using the 'Send email' and 'Send private message' buttons. Private messaging requires forum private messages to be enabled in forum settings."
Orders Panel,The Orders panel on the customer details page displays the customer's order history and details.
Addresses Panel,"The Addresses panel allows viewing, editing, and creating new addresses for a customer. Click 'Add new address', fill in the fields, and click Save to add the address."
Shopping Cart & Wishlist Panel,The 'Current shopping cart and wishlist' panel allows a store owner to view the customer's current shopping cart and wishlist items.
Activity Log Panel,The Activity log panel on the customer details page allows viewing the individual customer's activity log. Activity types are managed in the Activity log section.
Impersonation / Place Order,"The 'Place order (impersonate)' panel allows store owners to create orders on behalf of customers without requiring their password. This is useful for phone orders or CSR-assisted purchases. Click 'Place order', add products to the cart, proceed through checkout, then click 'Finish session' to end the impersonation session."
Back in Stock Subscriptions Panel,The 'Back in stock subscriptions' panel shows all products the customer has subscribed to for back-in-stock notifications.
Reward Points Panel,The Reward points panel (visible when the reward points program is enabled) allows store owners to add reward points to a customer or view their reward point usage history. A message or comment can be added when awarding points. The 'Activate points immediately' checkbox controls whether points are available right away or after a delay specified in the Reward points activation field.
Navigation,"To manage customer roles, navigate to Customers → Customer roles."
Purpose,"Customer roles enable grouping of web store users (e.g., store admins, shoppers, vendors). Roles can be granted special rights such as discounted pricing, tax exemption, free shipping, and more via the access control list."
Add Role,"To add a new customer role, click 'Add new'. Provide a name and configure role settings including Active status, Free shipping, Tax exempt, password lifetime, and purchased-with-product triggers."
Free Shipping,Selecting the 'Free shipping' checkbox on a customer role grants all customers in that role free shipping on their orders.
Tax Exempt,Selecting the 'Tax exempt' checkbox on a customer role enables customers in that role to make tax-free purchases.
Tax Display Type Override,"The 'Override default tax display type' option, when selected, allows choosing a custom tax display type for that customer role from the Default tax display type dropdown."
Password Lifetime,The 'Enable password lifetime' checkbox forces customers in that role to change their passwords after a specified period. The Password lifetime days setting must also be configured in Customer Settings.
Purchased with Product,"A customer can be automatically added to a role when they purchase a specific product. Use the 'Choose product' button to select the qualifying product. If an order is refunded or cancelled, the customer must be manually removed from the role."
System Roles,"The 'Is system role' flag indicates that a role is used internally by the application (e.g., Administrators, Forum Moderators, Registered, Guests). System roles cannot be deleted. The system name of the role is also displayed and cannot be modified."
Navigation,"To configure customer settings, navigate to Configuration → Settings → Customer settings. This page supports multi-store configuration."
Registration Options,Four registration modes are available: (1) Standard account creation — no approval required; (2) Email validation required — customers must confirm their email; (3) Administrator approval required — admin must approve each registration; (4) Registration disabled — no new registrations allowed.
Registration Notifications,Selecting 'Notify about new customer registration' sends the store owner an email notification whenever a new customer registers.
Downloadable Products,The 'Require registration for downloadable products' checkbox forces customers to complete registration before purchasing downloadable products.
Gift Card Balance,"The 'Allow customers to check gift card balance' option lets customers check their gift card balance. When enabled, CAPTCHA must also be activated (Configuration → Settings → General settings → CAPTCHA panel) for security purposes."
Usernames,"Selecting 'Usernames enabled' allows customers to register and log in using a username instead of an email address. It is not recommended to change this setting in a production environment. Sub-options include: allow username changes, check username availability, username validation rules, and regex-based validation."
Password & Security,"Password security settings include: minimum and maximum password length, requirements for lowercase, uppercase, digits, and non-alphanumeric characters, unduplicated passwords count, password lifetime in days, password recovery link expiry (days), maximum login failures, and lockout duration (minutes)."
Multi-Factor Authentication,The 'Force multi-factor authentication' option enforces MFA for customer roles specified in the Access Control List. At least one MFA provider must be active for this to work.
Email Confirmation,The 'Force entering email twice' checkbox requires customers to enter their email address twice during registration as a verification measure.
Time Zone,"The 'Allow customers to select time zone' setting lets customers choose their time zone from their account page. When disabled, the store's default time zone is applied for all customers."
External Authentication,"The 'Allow customers to remove associations' setting permits customers to remove their external authentication associations (e.g., social login links) from their account."
Last Visited Page Tracking,The 'Store last visited page' checkbox enables tracking and storing of the last page each customer visited. This data is visible on the Customers → Online customers page. Disabling this setting can improve site performance.
Customer Form Fields,"The Customer form fields panel controls which fields appear on the customer registration page. Each field can be enabled or set as required. If the default fields are insufficient, custom customer attributes can be added in the same manner as checkout attributes."
Address Form Fields,"The Address form fields panel controls which address fields are available during checkout registration. Configurable fields include Company, Street address, Street address 2, Zip/postal code, Fax number, and more. Each field can be enabled and optionally set as required. Custom address attributes can also be added."
Privacy Policy,The 'Accept privacy policy enabled' checkbox requires customers to accept the privacy policy during registration.
Newsletter,The 'Newsletter enabled' checkbox offers customers the option to subscribe to a newsletter during registration.
Navigation,"To manage the Access Control List, navigate to Configuration → Access control list."
Purpose,"The Access Control List (ACL) restricts or grants users access to certain areas of the site. It is role-based, managing groups such as Global Administrators and Content Managers. Only users with administrator rights can access the ACL."
Role Management,The roles used in the ACL are managed on the Customers → Customer roles page. Any changes to roles are reflected in ACL permissions.
Editing Permissions,"To assign permissions, click the 'Edit' button next to a permission item and select the required customer roles. Predefined permission items include: Access Admin Area, Manage Blog, Manage Campaigns, Manage Forums, Manage News, Manage Newsletter Subscribers, Allow Navigation (Public Store), and Display Prices (Public Store)."
Administrator Requirement,A user must have administrator rights to access the ACL configuration area. The ACL itself appears in the administration area only.
Catalog Performance Interaction,"The Catalog settings option 'Ignore ACL rules (sitewide)' disables all ACL rules configured for entities. This setting should only be used when ACL-based restrictions are not needed, as it improves performance but removes all access control on catalog entities."
Navigation,"To search and view activity logs, navigate to Customers → Activity log. To manage which activity types are tracked, navigate to Customers → Activity types."
Default Behavior,"By default, all activity types are enabled for tracking in nopCommerce. Store owners can disable specific types by clearing the relevant checkboxes on the Activity types page."
Activity Type Scope,"Most activity types track administrator actions in the admin area. Some activity types track public store shopper actions, such as adding items to cart or wishlist and placing orders."
Enable / Disable Activity Types,"To enable or disable an activity type, go to Customers → Activity types, select or deselect the 'Is enabled' checkbox next to the activity type, then click Save in the top right."
Search,"Activity logs can be searched using the following criteria: date range (Created from / Created to fields or dropdown calendar), activity log type, and IP address."
Customer-Level Activity,Individual customer activity logs can be viewed from the customer's detail page via the Activity log panel. Activity type management is accessible from the Activity log - Customer activity types section.
Navigation,"To view online customers, navigate to Customers → Online customers in the administration area."
Tracking Window,The Online Customers window displays all customers who have been active within the last 20 minutes.
Displayed Information,"The Online Customers window includes the following columns: Customer info (clickable link to view/edit the customer), IP address, Location, Last activity (date and time of last login), and Last visited page."
Last Visited Page Requirement,"To display the 'Last visited page' column for online customers, the 'Store last visited page' setting must be enabled on the Configuration → Settings → Customer settings page (Account panel)."
Customer Detail Access,"Clicking on a customer's name or info link in the Online Customers window redirects to that customer's full details page, where the store owner can view and edit all customer information."
